model,best_params,train_score_acc,cross_val_score_acc,test_score_acc,train_score_auc,cross_val_score_auc,test_score_auc
Logistic Regression + Standard dataset,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1.0,0.8462500000000001,0.84,1.0,0.9235065291857104,0.84003400340034
Logistic Regression + Extended dataset,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1.0,0.846875,0.8375,1.0,0.9231080639136294,0.8375587558755875
Logistic Regression + SVD dataset,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.836875,0.7949999999999999,0.775,0.8368599178744868,0.8767480544283958,0.7752275227522754
Logistic Regression + Sparse PCA dataset,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.68125,0.67875,0.64,0.6811948824680154,0.7257219486723113,0.6407140714071407
LightGBM + Standard dataset,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5157078343718623, 'importance_type': 'split', 'learning_rate': 0.0016660662914022302, 'max_depth': -1, 'min_child_samples': 29, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 2541, 'n_jobs': None, 'num_leaves': 1667, 'objective': None, 'random_state': None, 'reg_alpha': 0.045792841240713165, 'reg_lambda': 0.0012362651138125363, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 255, 'verbose': -1}",0.99875,0.82,0.8125,0.9987468671679198,0.898490702456639,0.8126562656265627
LightGBM + Extended dataset,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.5157078343718623, 'importance_type': 'split', 'learning_rate': 0.0016660662914022302, 'max_depth': -1, 'min_child_samples': 29, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 2541, 'n_jobs': None, 'num_leaves': 1667, 'objective': None, 'random_state': None, 'reg_alpha': 0.045792841240713165, 'reg_lambda': 0.0012362651138125363, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 255, 'verbose': -1}",0.999375,0.82125,0.805,0.9993734335839599,0.8962953441784836,0.8051805180518052
LightGBM + SVD dataset,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.37915528071680865, 'importance_type': 'split', 'learning_rate': 0.02070742242160566, 'max_depth': -1, 'min_child_samples': 8, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 362, 'n_jobs': None, 'num_leaves': 1208, 'objective': None, 'random_state': None, 'reg_alpha': 0.002982599447751338, 'reg_lambda': 1.136605174453919, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 15, 'verbose': -1}",1.0,0.7656250000000001,0.7525,1.0,0.8533257369062268,0.7528502850285028
LightGBM + Sparse PCA dataset,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.37915528071680865, 'importance_type': 'split', 'learning_rate': 0.02070742242160566, 'max_depth': -1, 'min_child_samples': 8, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 362, 'n_jobs': None, 'num_leaves': 1208, 'objective': None, 'random_state': None, 'reg_alpha': 0.002982599447751338, 'reg_lambda': 1.136605174453919, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'max_bin': 15, 'verbose': -1}",0.999375,0.64375,0.6525,0.9993765586034913,0.6809715705447478,0.6535403540354036
SVM + Standard dataset,"{'C': 1, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': False, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",1.0,0.8356250000000001,0.8275,1.0,0.9139047908975936,0.8276077607760776
SVM+ Extended dataset,"{'C': 1, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': False, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",1.0,0.8324999999999999,0.825,1.0,0.9128110100736357,0.825082508250825
